,,,,,Player,,,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2017,1,1,2,2,Mitchell Trubisky,Bears,North Carolina,Career,Career,,,,69,57,31-26-0,1200,1872,64.1,12536,72,3.8,48,2.6,634,45.4,70,6.7,6.3,10.4,181.7,85.5,,129,808,6.4,5.86,5.5,5,8,41,
2017,2,1,10,10,Patrick Mahomes,Chiefs,Texas Tech,Career,Career,,,,96,96,74-22-0,2386,3590,66.5,28424,219,6.1,63,1.8,1404,52.6,89,7.9,8.3,11.9,296.1,103.5,,148,980,4,7.34,7.76,14,16,109,
2017,3,1,12,12,Deshaun Watson,Texans,Clemson,Career,Career,,,,66,65,36-29-0,1390,2089,66.5,16756,118,5.6,45,2.2,804,48.1,77,8,8.2,12.1,253.9,100.8,,211,1241,9.2,6.75,6.89,9,11,63,
2017,4,2,20,52,DeShone Kizer,Browns,Notre Dame,Career,Career,,,,18,15,0-15-0,275,518,53.1,3081,11,2.1,24,4.6,139,33.9,56,5.9,4.3,11.2,171.2,58.9,,42,264,7.5,5.03,3.49,,,6,
2017,5,3,23,87,Davis Webb,Giants,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,3,40,104,C.J. Beathard,49ers,Iowa,Career,Career,,,,32,13,3-10-2000,340,563,60.4,3886,19,3.4,14,2.5,191,42.2,83,6.9,6.5,11.4,121.4,82.1,,53,400,8.6,5.66,5.25,,,9,
2017,7,4,29,135,Joshua Dobbs,Steelers,Tennessee,Career,Career,,,,21,14,3-11-2000,312,502,62.2,2920,15,3,13,2.6,153,40.7,69,5.8,5.2,9.4,139,77.3,,36,243,6.7,4.98,4.45,0,0,8,
2017,8,5,28,171,Nathan Peterman,Bills,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,6,32,215,Brad Kaaya,Lions,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,7,35,253,Chad Kelly,Broncos,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,1,Baker Mayfield,Browns,Oklahoma,Career,Career,,,,89,86,40-46-0,1750,2825,61.9,20332,130,4.6,74,2.6,963,44.4,89,7.2,6.9,11.6,228.4,88.1,,210,1338,6.9,6.26,6.02,8,10,64,
2018,2,1,3,3,Sam Darnold,Jets,USC,Career,Career,,,,66,56,21-35-0,1082,1811,59.7,12064,63,3.5,56,3.1,581,42,92,6.7,6,11.1,182.8,78.3,,149,972,7.6,5.66,5.02,3,5,28,
2018,3,1,7,7,Josh Allen,Bills,Wyoming,Career,Career,,,,94,93,63-30-0,1989,3145,63.2,22703,167,5.3,78,2.5,1110,49,98,7.2,7.2,11.4,241.5,92.2,,175,1087,5.3,6.51,6.46,13,19,92,
